,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,UIDENTSTLA,lat_short,long_short
8757,8758,2,3,1,305,2016,6,19,4,3,0,3,0,0,1,0,0,0,0.0,1,563698.580899999940000,5936981.828300000200000,9.962067921999999,53.577820993000003,,9.962,53.578
8758,8759,2,2,9,221,2016,5,8,5,3,3,6,0,0,1,0,0,0,0.0,0,557014.761300000010000,5936232.936400000000000,9.860995732999999,53.571859416999999,,9.861,53.572
8761,8762,2,1,8,121,2016,7,20,5,3,4,6,0,0,1,0,0,0,0.0,0,568851.578400000000000,5934847.000699999700000,10.039411800000000,53.557984017999999,,10.039,53.558
8767,8768,2,4,2,403,2016,5,20,5,2,4,3,0,0,1,1,0,0,0.0,0,565119.609100000000000,5938907.460199999600000,9.983928809000000,53.594952566000003,,9.984,53.595
8770,8771,2,1,8,124,2016,12,18,4,3,0,2,2,0,1,1,0,0,0.0,0,568938.598200000010000,5934439.990799999800000,10.040635482000001,53.554314757000000,,10.041,53.554
8777,8778,2,7,1,701,2016,9,16,2,3,3,2,0,0,1,1,0,0,0.0,0,564944.006399999950000,5924419.432500000100000,9.978270459000001,53.464765937000003,,9.978,53.465
8799,8800,2,2,9,221,2016,8,15,5,3,5,3,0,0,1,1,0,0,0.0,0,556259.629300000030000,5936312.821399999800000,9.849608054000001,53.572658910999998,,9.85,53.573
8801,8802,2,4,6,414,2016,7,8,5,3,6,7,0,0,1,0,1,0,0.0,0,567486.115200000000000,5936939.376699999900000,10.019253888000000,53.576965842000000,,10.019,53.577
8808,8809,2,2,3,209,2016,11,15,3,3,3,2,0,0,1,0,0,0,0.0,1,562558.344999999970000,5935569.301199999600000,9.944566061000000,53.565263364000003,,9.945,53.565
8834,8835,2,1,7,119,2016,12,10,3,3,3,6,0,0,1,1,0,0,0.0,0,567949.924299999960000,5934309.587200000000000,10.025685645999999,53.553271701000000,,10.026,53.553
8842,8843,2,3,9,321,2016,6,23,2,3,4,2,2,0,1,1,0,0,0.0,0,561876.129700000050000,5937261.890800000200000,9.934602234000000,53.580556170999998,,9.935,53.581
8843,8844,2,4,5,412,2016,12,12,2,3,5,3,0,0,1,1,0,0,0.0,0,567477.795500000010000,5937603.868700000500000,10.019271911000001,53.582938786000000,,10.019,53.583
8863,8864,2,3,6,318,2016,7,8,6,3,5,3,0,1,1,1,0,0,0.0,0,563041.422000000020000,5940894.085599999900000,9.952934993000000,53.613060955999998,,9.953,53.613
8877,8878,2,1,3,107,2016,10,16,2,3,4,6,0,1,1,0,0,0,0.0,0,565090.440999999990000,5933749.440399999700000,9.982413036000001,53.548599830000001,,9.982,53.549
8889,8890,2,3,1,305,2016,9,7,6,3,6,6,0,0,1,0,1,0,0.0,0,563526.938599999990000,5936623.860100000200000,9.959403090000000,53.574624643999996,,9.959,53.575
8890,8891,2,3,1,306,2016,6,14,6,3,5,3,0,0,1,1,0,0,0.0,0,563081.607800000000000,5936268.201399999700000,9.952606744000001,53.571481966999997,,9.953,53.571
8892,8893,2,2,5,216,2016,5,10,5,3,5,3,0,0,1,1,0,0,0.0,0,559634.362199999970000,5935489.956000000200000,9.900407947000000,53.564890687000002,,9.9,53.565
8901,8902,2,2,3,208,2016,6,23,1,3,1,5,2,0,1,1,0,0,0.0,0,563046.400400000040000,5935202.509100000400000,9.951860062000000,53.561908471999999,,9.952,53.562
8909,8910,2,2,3,208,2016,6,15,2,3,6,7,0,0,1,0,1,0,0.0,0,562987.801699999950000,5935214.842799999800000,9.950977972000000,53.562026355000000,,9.951,53.562
8911,8912,2,3,1,306,2016,6,15,5,3,5,7,0,0,1,0,0,0,0.0,0,563519.638799999960000,5936600.296900000400000,9.959288070000000,53.574413757999999,,9.959,53.574
8912,8913,2,3,6,318,2016,10,8,5,3,0,6,0,1,1,0,0,0,0.0,0,562993.048199999960000,5940944.409300000400000,9.952214060999999,53.613519048000001,,9.952,53.614
8924,8925,2,6,1,601,2016,10,15,5,3,5,3,0,0,1,1,0,0,0.0,0,579770.850300000050000,5927585.672299999700000,10.202366833999999,53.491183180999997,,10.202,53.491
8925,8926,2,2,5,216,2016,9,8,5,3,5,2,0,0,1,1,0,0,0.0,0,560589.628499999990000,5935493.700299999700000,9.914830053999999,53.564814912000003,,9.915,53.565
8927,8928,2,2,5,216,2016,5,7,4,3,4,6,0,0,1,0,0,0,0.0,0,559518.626300000000000,5935540.348199999900000,9.898670310000000,53.565356723999997,,9.899,53.565
8936,8937,2,3,6,318,2016,5,18,3,2,5,3,0,0,1,1,0,0,0.0,0,563039.540799999960000,5940895.772400000100000,9.952906902000001,53.613076343000003,,9.953,53.613
8950,8951,2,1,6,117,2016,7,6,4,3,5,2,0,0,1,1,0,0,0.0,0,568314.175900000030000,5933391.762699999800000,10.030982439000001,53.544975811000000,,10.031,53.545
8951,8952,2,1,1,102,2016,6,12,6,3,4,6,0,0,1,0,0,0,0.0,0,565409.232399999980000,5933645.240100000100000,9.987201991999999,53.547623739000002,,9.987,53.548
8952,8953,2,1,6,117,2016,9,8,3,3,3,2,0,0,1,1,0,0,0.0,0,568331.156700000050000,5933356.539900000200000,10.031230968999999,53.544657049999998,,10.031,53.545
8953,8954,2,3,4,316,2016,5,9,3,3,3,6,0,0,1,1,0,0,0.0,0,564094.333199999990000,5937657.491000000400000,9.968182963000000,53.583845142999998,,9.968,53.584
8983,8984,2,1,14,132,2016,9,6,4,3,4,2,0,0,1,1,0,0,0.0,0,568494.140999999950000,5932986.794300000200000,10.033609275000000,53.541312861000002,,10.034,53.541
8984,8985,2,3,9,321,2016,9,17,1,3,3,3,2,0,1,1,0,0,0.0,0,561531.707199999950000,5938485.286799999900000,9.929641959000000,53.591591790000003,,9.93,53.592
8994,8995,2,2,5,216,2016,11,14,6,3,5,2,0,1,1,1,0,0,0.0,0,560015.672999999950000,5935585.470499999800000,9.906182848000000,53.565705647999998,,9.906,53.566
8995,8996,2,6,2,602,2016,9,13,2,3,2,2,0,0,1,1,0,0,0.0,0,580661.138500000000000,5927039.735799999900000,10.215642325999999,53.486141310000001,,10.216,53.486
8996,8997,2,1,1,102,2016,5,15,1,3,0,7,0,0,1,0,0,0,0.0,1,565664.514399999990000,5933603.012199999800000,9.991045389000000,53.547212365000000,,9.991,53.547
9011,9012,2,7,10,711,2016,5,17,7,3,5,3,0,0,1,0,0,0,0.0,1,563026.256999999980000,5925066.008800000000000,9.949516947999999,53.470810016999998,,9.95,53.471
9028,9029,2,1,4,111,2016,5,16,7,3,5,3,0,0,1,1,0,0,0.0,0,564184.767699999970000,5934036.799800000200000,9.968804815000000,53.551293907999998,,9.969,53.551
9034,9035,2,4,7,416,2016,8,15,6,3,3,6,0,0,1,1,0,0,0.0,0,567974.319999999950000,5934707.330000000100000,10.026140317999999,53.556843116000003,,10.026,53.557
9038,9039,2,1,1,102,2016,9,20,3,3,5,2,2,0,1,1,0,0,0.0,0,565382.422400000040000,5933651.758399999700000,9.986798786000000,53.547685659999999,,9.987,53.548
9041,9042,2,4,6,415,2016,12,17,4,3,5,2,2,1,1,1,0,0,0.0,0,568159.888000000040000,5936011.265399999900000,10.029225606000001,53.568537683999999,,10.029,53.569
9048,9049,2,1,3,106,2016,7,7,5,3,3,2,0,0,1,0,0,0,1.0,0,564503.139800000000000,5933864.525200000000000,9.973574024000000,53.549706606999997,,9.974,53.55
